hour_of_day,trips_2024,trips_2025,trip_diff,growth_pct
0,6382270,6101760,-280510,-4.4
1,4435523,4213895,-221628,-5.0
2,3144223,2995737,-148486,-4.72
3,2520180,2432021,-88159,-3.5
4,2557016,2516485,-40531,-1.59
5,3071520,3078365,6845,0.22
6,4825103,4835331,10228,0.21
7,7281332,7304123,22791,0.31
8,8904446,9021897,117451,1.32
9,8312547,8452830,140283,1.69
10,7683060,7740666,57606,0.75
11,7600064,7590428,-9636,-0.13
12,7792246,7760977,-31269,-0.4
13,8119429,8086507,-32922,-0.41
14,8816308,8709885,-106423,-1.21
15,9068191,8975285,-92906,-1.02
16,9359714,9344899,-14815,-0.16
17,10317725,10159483,-158242,-1.53
18,10718501,10492761,-225740,-2.11
19,10354737,10128092,-226645,-2.19
20,9929948,9607099,-322849,-3.25
21,9739951,9278720,-461231,-4.74
22,9567814,9064151,-503663,-5.26
23,8542139,8030536,-511603,-5.99
